;userName;content;step01
0;Anggun Virly channel;Kode billing tidak ada;kode billing tidak ada
1;Juni Arjuna;App nya saya mohon di perbaiki,saya udh log-in, bsoknya malah keluar ,trus di sruh log-in lagI , stelah log-in, , email tidak valid ,sandi di sruh ubah ,trus daftar lagi ,malah engak bisa ,,ribet baget aplikasi M paspor skrng ,bikin susah;app nya saya mohon di perbaiki saya udh log in bsoknya malah keluar trus di sruh log in lagi stelah log in email tidak valid sandi di sruh ubah trus daftar lagi malah engak bisa ribet baget aplikasi paspor skrng bikin susah
2;Khamdan Ambari;Maksudnya apa ini qplikasi, kirain bisa membantu pembuatan paspor, tapi saya coba masuk gak bisa bisa,abal² apa bagaimana ini yak aplikasinya. Coba tolong dijelaskan.;maksudnya apa ini qplikasi kirain bisa membantu pembuatan paspor tapi saya coba masuk gak bisa bisa abal apa bagaimana ini yak aplikasinya coba tolong dijelaskan
3;Antika Yosa Fitri;Bikin aplikasi, bukan memudahkan tetapi bikin tambah masalah;bikin aplikasi bukan memudahkan tetapi bikin tambah masalah
4;PENDAKI PAM chanel;aplikasi makan sagu Rakyat miskin;aplikasi makan sagu rakyat miskin
5;Nora Wiqayati;Paspor nggak bisa dinyatakan rusak apa tidak, padahal foto di upload, ternyata klo bekas basah walaupun semua masih jelas dinyatakan rusak, uang hangus, harusnya ada peringatan di aplikasi, klo pernah basah tidak bisa lanjut;paspor nggak bisa dinyatakan rusak apa tidak padahal foto di upload ternyata klo bekas basah walaupun semua masih jelas dinyatakan rusak uang hangus harusnya ada peringatan di aplikasi klo pernah basah tidak bisa lanjut
6;Rendy Sihaloho;Ini gimana si di pilih tanggal gak mau gabisa di pilih, tolong lah aplikator kalau punya aplikasi di rawat sesikitt;ini gimana si di pilih tanggal gak mau gabisa di pilih tolong lah aplikator kalau punya aplikasi di rawat sesikitt
7;tommy fondy;Good;good
8;abaz Gorden;Aplikasi milik negara kok gini amat ya, susah banget digunakan jangan jangan pakek paket web jenis pelajar yang hanya diakses untuk kalangan interen bukan untuk public, udah 2 hari ndak bisa masuk, ndak bisa ambil tanggal / no antrian;aplikasi milik negara kok gini amat ya susah banget digunakan jangan jangan pakek paket web jenis pelajar yang hanya diakses untuk kalangan interen bukan untuk public udah   hari ndak bisa masuk ndak bisa ambil tanggal no antrian
9;EDY MUSTOFA;Aplikasinya Tidak bisa dibuka;aplikasinya tidak bisa dibuka
10;Dian prahmana putra;Aneh banget ya masa kuota penuh terus,jadi mau ngurus paspor gak bisa-bisa... Kalau gitu ngapain suruh daftar online kalau begini.Masa selalu penuh dari bulan-bulan lalu juga gitu;aneh banget ya masa kuota penuh terus jadi mau ngurus paspor gak bisa bisa kalau gitu ngapain suruh daftar online kalau begini masa selalu penuh dari bulan bulan lalu juga gitu
11;Pakasam Jalu;Coba dlu;coba dlu
12;Suhendra Dada;Ruangan nya nyaman;ruangan nya nyaman
13;Reydel Jilly;Error Mulu billingnya gak muncul udah 1000 kali masukin data;error mulu billingnya gak muncul udah   kali masukin data
14;Roy Ronie;Tidak bisa isi jadwal ke kantor imigrasi, payah. Setengah niat bikin aplikasinya.;tidak bisa isi jadwal ke kantor imigrasi payah setengah niat bikin aplikasinya
15;Fakhrul Ulum;Sync data nya tidak real time dan status pembayaran tidak otomatis terupdate mohon segera di perbaiki;sync data nya tidak real time dan status pembayaran tidak otomatis terupdate mohon segera di perbaiki
16;Retno Hastuti;Aplikasi kok bikin emosi, puluhan kali baru bisa verifikasi, sampe pada pembayaran eee kode billing gak keluar, stlh 24 jam baru kode billing keluar 😣;aplikasi kok bikin emosi puluhan kali baru bisa verifikasi sampe pada pembayaran eee kode billing gak keluar stlh   jam baru kode billing keluar
17;Alna Septiani;Susah banget milih tanggalnya, semua merah.;susah banget milih tanggalnya semua merah
18;P 7;Apakah karena kurang duit Maintenance nya se abad, sering error, punya pemerintah kek gini??? wakanda oh wakanda Online dimaksudkan untuk mempermudah proses masyarakat, juga mengurangi calo2 dan oknum biadap. Malu dong sama apk micet;apakah karena kurang duit maintenance nya se abad sering error punya pemerintah kek gini wakanda oh wakanda online dimaksudkan untuk mempermudah proses masyarakat juga mengurangi calo dan oknum biadap malu dong sama apk micet
19;Just For KM#1;"Sering Terjadi "" Connection closed before full header was received "" gimana tuh mau cetak pdf gak bisa-bisa...kok tambah parah";sering terjadi connection closed before full header was received gimana tuh mau cetak pdf gak bisa bisa kok tambah parah
20;Rikki Ramadhan Adam;Tidak dapat digunakan;tidak dapat digunakan
21;Ichsan Maulana;Mantanance?;mantanance
22;Amar Rayhan;request time out puluhan kali;request time out puluhan kali
23;Firda Azhar;Lemot aplikasinya;lemot aplikasinya
24;Nur Amalia Rizkita;Ya Allah bener-bener ya kudu sabar tinggal di negara ini. Apa apa sulit dan lama.;ya allah bener bener ya kudu sabar tinggal di negara ini apa apa sulit dan lama
25;Mawar Hutasoit;Ah lemot sekali masa katanya jaringan gaada cba lgii mau cba berapa kalii bos?? Berulang ulang di cba berkali-kali ttp hasil yg smaa gimna sih aplikasi nyaa inii terlalu bnyk loading dan gangguan sistem gimna sihh;ah lemot sekali masa katanya jaringan gaada cba lgii mau cba berapa kalii bos berulang ulang di cba berkali kali ttp hasil yg smaa gimna sih aplikasi nyaa inii terlalu bnyk loading dan gangguan sistem gimna sihh
26;hermannusa channel;Aplikasi payah! Padahal biaya pembuatan passport tidak bisa dibilang murah, tapi membuat aplikasi yg intinya sistem antrian gini aja error mulu! Kemana duitnya??;aplikasi payah padahal biaya pembuatan passport tidak bisa dibilang murah tapi membuat aplikasi yg intinya sistem antrian gini aja error mulu kemana duitnya
